iter	Passed	Remaining
0	1	1474
1	2	1366
2	4	1492
3	5	1427
4	6	1388
5	8	1352
6	9	1332
7	10	1315
8	11	1300
9	12	1286
10	14	1277
11	15	1273
12	16	1268
13	17	1264
14	19	1270
15	20	1264
16	21	1259
17	22	1253
18	24	1251
19	25	1247
20	26	1245
21	27	1241
22	29	1238
23	30	1235
24	31	1235
25	32	1235
26	34	1233
27	35	1236
28	37	1245
29	38	1244
30	39	1242
31	40	1238
32	42	1235
33	43	1232
34	45	1247
35	47	1260
36	49	1285
37	51	1294
38	52	1295
39	53	1290
40	54	1286
41	56	1282
42	57	1280
43	58	1277
44	60	1273
45	61	1270
46	62	1272
47	64	1269
48	65	1266
49	66	1262
50	67	1258
51	68	1254
52	70	1251
53	71	1252
54	72	1251
55	74	1249
56	75	1246
57	76	1243
58	78	1245
59	79	1242
60	80	1239
61	81	1237
62	83	1234
63	84	1231
64	85	1229
65	86	1227
66	87	1224
67	88	1214
68	89	1211
69	90	1208
70	92	1208
71	93	1206
72	94	1204
73	96	1201
74	97	1199
75	98	1199
76	99	1197
77	101	1195
78	102	1193
79	103	1190
80	104	1188
81	106	1187
82	107	1186
83	108	1184
84	109	1178
85	110	1175
86	111	1170
87	112	1168
88	113	1166
89	115	1164
90	116	1162
91	117	1160
92	118	1158
93	119	1156
94	121	1155
95	122	1153
96	123	1150
97	124	1148
98	126	1148
99	127	1148
100	128	1147
101	129	1141
102	131	1141
103	132	1140
104	133	1139
105	135	1139
106	136	1139
107	137	1138
108	139	1140
109	140	1139
110	142	1138
111	143	1137
112	144	1135
113	145	1134
114	147	1132
115	148	1130
116	149	1130
117	151	1129
118	152	1127
119	153	1127
120	154	1125
121	156	1125
122	157	1120
123	158	1119
124	159	1118
125	161	1117
126	162	1116
127	163	1112
128	164	1111
129	166	1112
130	167	1114
131	169	1113
132	170	1112
133	171	1110
134	173	1108
135	174	1107
136	175	1105
137	176	1102
138	177	1100
139	179	1100
140	180	1100
141	181	1098
142	183	1096
143	184	1095
144	185	1093
145	186	1091
146	187	1089
147	189	1088
148	190	1086
149	191	1085
150	192	1084
151	194	1084
152	195	1083
153	196	1082
154	198	1080
155	199	1079
156	200	1077
157	201	1076
158	203	1074
159	204	1073
160	205	1071
161	207	1071
162	208	1071
163	210	1070
164	211	1069
165	212	1067
166	213	1066
167	215	1064
168	216	1063
169	217	1062
170	218	1061
171	220	1059
172	221	1058
173	222	1057
174	224	1056
175	225	1054
176	226	1053
177	227	1052
178	229	1050
179	230	1049
180	230	1044
181	232	1043
182	233	1042
183	234	1040
184	235	1039
185	237	1037
186	238	1036
187	239	1035
188	240	1033
189	242	1032
190	243	1030
191	244	1029
192	245	1028
193	247	1027
194	248	1026
195	249	1024
196	251	1023
197	252	1022
198	253	1021
199	254	1019
200	256	1018
201	257	1017
202	258	1015
203	259	1014
204	261	1013
205	263	1014
206	264	1014
207	267	1018
208	269	1018
209	271	1020
210	272	1019
211	274	1019
212	276	1019
213	278	1022
214	279	1021
215	281	1021
216	283	1021
217	284	1020
218	285	1019
219	287	1018
220	289	1019
221	290	1018
222	292	1020
223	294	1021
224	297	1024
225	300	1027
226	302	1029
227	306	1039
228	308	1039
229	310	1039
230	314	1045
231	317	1051
232	321	1059
233	323	1060
234	325	1061
235	332	1077
236	334	1077
237	336	1077
238	338	1077
239	340	1077
240	344	1083
241	348	1091
242	350	1091
243	352	1091
244	354	1092
245	356	1092
246	363	1106
247	364	1106
248	368	1109
249	371	1115
250	377	1127
251	379	1126
252	381	1125
253	383	1125
254	384	1124
255	386	1123
256	391	1132
257	393	1132
258	396	1133
259	397	1132
260	399	1130
261	400	1128
262	402	1127
263	410	1145
264	413	1145
265	416	1148
266	419	1150
267	421	1150
268	423	1150
269	425	1149
270	427	1149
271	428	1147
272	430	1146
273	432	1145
274	434	1145
275	435	1143
276	437	1141
277	438	1139
278	440	1137
279	441	1135
280	442	1133
281	444	1130
282	445	1128
283	446	1126
284	448	1124
285	449	1121
286	450	1119
287	451	1117
288	453	1114
289	454	1112
290	455	1109
291	456	1107
292	458	1105
293	459	1103
294	460	1100
295	461	1098
296	463	1097
297	464	1094
298	465	1092
299	467	1090
300	468	1087
301	469	1085
302	470	1083
303	472	1080
304	473	1078
305	474	1076
306	475	1074
307	477	1072
308	478	1069
309	479	1067
310	480	1065
311	482	1063
312	483	1061
313	484	1058
314	486	1056
315	487	1054
316	488	1052
317	489	1050
318	490	1048
319	492	1045
320	493	1043
321	494	1041
322	495	1039
323	497	1037
324	498	1034
325	499	1032
326	500	1030
327	502	1028
328	503	1026
329	504	1024
330	505	1022
331	507	1020
332	508	1018
333	509	1016
334	510	1014
335	512	1012
336	513	1010
337	514	1008
338	515	1006
339	517	1003
340	518	1001
341	519	999
342	520	997
343	522	995
344	523	993
345	524	991
346	525	989
347	527	988
348	528	986
349	530	984
350	531	982
351	532	980
352	533	978
353	534	976
354	536	974
355	537	972
356	538	970
357	540	968
358	541	966
359	542	964
360	543	962
361	544	960
362	546	958
363	547	956
364	548	954
365	549	952
366	551	950
367	552	949
368	553	947
369	555	945
370	556	943
371	557	941
372	558	939
373	560	937
374	561	935
375	562	933
376	563	931
377	565	930
378	566	928
379	567	926
380	569	924
381	570	922
382	571	920
383	572	918
384	574	917
385	575	915
386	576	913
387	577	911
388	579	909
389	580	907
390	581	905
391	582	904
392	584	902
393	585	900
394	586	898
395	587	896
396	589	894
397	590	892
398	591	890
399	592	889
400	594	887
401	595	885
402	596	883
403	597	882
404	599	880
405	600	878
406	601	876
407	602	874
408	604	873
409	605	871
410	606	869
411	607	867
412	609	866
413	610	864
414	611	862
415	613	860
416	614	858
417	615	857
418	616	855
419	618	853
420	619	851
421	620	850
422	621	848
423	623	846
424	624	845
425	625	843
426	627	841
427	628	839
428	629	838
429	630	836
430	632	834
431	633	832
432	634	831
433	636	829
434	637	827
435	638	826
436	639	824
437	641	822
438	642	820
439	643	819
440	644	817
441	646	815
442	647	813
443	648	812
444	649	810
445	651	808
446	652	807
447	653	805
448	655	803
449	656	802
450	657	800
451	658	798
452	660	797
453	661	795
454	663	794
455	664	792
456	665	790
457	666	789
458	668	787
459	669	785
460	670	784
461	671	782
462	673	780
463	674	779
464	675	777
465	677	775
466	678	774
467	679	772
468	680	771
469	682	769
470	683	767
471	684	766
472	685	764
473	687	762
474	688	760
475	689	759
476	691	757
477	692	755
478	693	754
479	694	752
480	695	750
481	697	749
482	698	747
483	699	746
484	700	744
485	702	742
486	703	740
487	704	739
488	705	737
489	707	735
490	708	734
491	709	732
492	710	731
493	712	729
494	713	727
495	714	726
496	716	724
497	717	722
498	718	721
499	719	719
500	720	718
501	722	716
502	723	714
503	724	713
504	726	711
505	727	710
506	728	708
507	729	706
508	731	705
509	732	703
510	733	702
511	734	700
512	736	698
513	737	697
514	738	695
515	739	694
516	741	692
517	742	691
518	744	689
519	745	687
520	746	686
521	747	684
522	749	683
523	750	681
524	751	679
525	752	678
526	753	676
527	755	675
528	756	673
529	758	672
530	760	671
531	761	670
532	763	668
533	764	667
534	765	665
535	767	664
536	768	662
537	769	661
538	771	659
539	772	657
540	773	656
541	774	654
542	776	653
543	777	651
544	778	649
545	779	648
546	780	646
547	782	645
548	783	643
549	784	642
550	786	640
551	787	638
552	788	637
553	789	635
554	791	634
555	792	632
556	793	631
557	794	629
558	796	627
559	797	626
560	798	624
561	799	623
562	801	621
563	802	620
564	803	618
565	804	617
566	806	615
567	807	613
568	808	612
569	809	610
570	811	609
571	812	607
572	813	606
573	814	604
574	816	603
575	817	601
576	818	600
577	819	598
578	821	597
579	822	595
580	823	594
581	824	592
582	826	590
583	827	589
584	828	587
585	830	586
586	831	584
587	832	583
